date,total_transactions,avg_gas_cost_usd,total_eth_transferred,active_unique_addresses,avg_block_utilization_pct,failed_tx_rate_pct,new_contracts_deployed,token_transfer_count
2026-06-15,1842441,0.4320569127589038,2012415.7678833783,612957,50.51502845705773,1.813,2283,4263204
2026-06-16,1850517,0.3341901264469171,1683943.120443934,583226,50.52239088595537,1.64,3187,4475752
2026-06-17,2359011,0.3217537652124656,1333928.0048116413,614363,50.56307055249095,1.329,2291,4569026
2026-06-18,2128356,0.38054584443632,1533951.57857699,581772,50.5128324384758,1.445,2504,4290557
2026-06-19,1882938,0.3024082278802867,1561776.0675074535,581759,50.54214945898195,2.148,3063,4593547
2026-06-20,2082631,0.2424772257097901,813998.0908160834,524986,50.460715238659695,1.899,2637,4689599
2026-06-21,2924395,0.1294091890807044,600845.7069771946,522067,50.50549036327988,1.089,2655,3803360
2026-06-22,2838530,0.2044261311460168,1476552.1718485788,641161,50.55003851169278,1.404,2591,3653613
2026-06-23,2891966,0.2475811770775424,1911826.7859227024,588408,50.45453268488358,1.412,2458,3702185
2026-06-24,2700616,0.3608860419774012,2052518.997695649,718857,50.51904181362518,1.433,2680,3680000
2026-06-25,2683262,0.4665122776548289,1974280.5157588928,647488,50.54192562423634,1.129,3106,3295542
2026-06-26,2317705,0.3706322316105165,2526620.676579195,704040,50.53714850731895,1.371,3091,3417854
2026-06-27,1439609,0.2756365683644506,1790010.439154795,444772,50.606369225214976,1.526,5206,4554112
2026-06-28,1464851,0.2769767332375638,603916.3402754843,443409,50.66523122268183,2.796,2848,3339026
2026-06-29,1868740,0.3449009798256919,1409070.0280802965,607404,50.59116817908142,1.818,3064,2943126
2026-06-30,2136986,0.3438085294083229,1844402.7289982648,630220,50.53922436085976,1.449,2141,3142796
2026-07-01,2238720,0.3293275918436839,1528698.4583861749,621904,50.55484016758156,1.418,2276,2961603
2026-07-02,1800140,0.4704845750261083,1576823.903116462,597038,50.594982878919566,1.619,1908,4155634
2026-07-03,1857982,0.2856871791626576,1077202.6292739057,596860,50.53894570367916,2.133,2042,4818547
2026-07-04,1925087,0.4656433615731459,801150.6838302074,494964,50.588812643830494,1.572,2356,3974492
2026-07-05,2762431,0.1252886464589541,568226.48158366,550553,50.55013970052008,0.854,1998,3532338
2026-07-06,2718589,0.2164032534323799,1601631.8848421224,603845,50.58938025597848,0.937,1654,3970687
